序位	詞彙	詞頻
443	調整	289
444	挑戰	288
445	主任	287
446	議題	287
447	歷史	287
448	英國	285
449	採	285
450	申請	283
451	委員會	283
452	教授	282
453	五月	282
454	開心	282
455	病毒	281
456	今天	280
457	協會	280
458	臺大	279
459	團體	278
460	改善	278
461	內容	277
462	群聚	277
463	陳中興	277
464	作為	277
465	成功	276
466	累計	275
467	參賽	274
468	座	272
469	招生	272
470	日	271
471	強	271
472	成果	270
473	聯盟	270
474	文	269
475	加上	269
476	占	269
477	需求	269
478	資料	269
479	嚴重	268
480	目標	268
481	新聞	267
482	屏東	267
483	跨	265
484	偏鄉	264
485	分別	263
486	居家	263
487	經驗	262
488	經費	262
489	自主	261
490	同	261
491	九	261
492	逾	261
493	圖書館	261
494	實驗	260
495	很多	260
496	爸爸	259
497	地區	259
498	重症	259
499	因應	258
500	經濟	258
501	運用	257
502	感謝	257
503	輔導	257
504	臺中	257
505	應該	257
506	公尺	257
507	來自	256
508	不會	256
509	取得	256
510	落實	256
511	最多	254
512	事件	254
513	老師	254
514	班級	254
515	口罩	254
516	非	254
517	四月	254
518	接觸	253
519	幫助	252
520	顯示	252
521	前往	251
522	十一	251
523	不能	251
524	知識	250
525	非常	249
526	決定	249
527	位	248
528	過去	248
529	國語日報	248
530	覺得	247
531	資訊	247
532	中華隊	247
533	不僅	245
534	演出	245
535	地	244
536	施打	244
537	症狀	242
538	記者會	241
539	以下	240
540	推出	239
541	處	239
542	玩	239
543	校方	238
544	觀察	238
545	例如	237
546	空間	237
547	錦標賽	237
548	加強	236
549	中小學	236
550	面對	235
551	請	234
552	障礙	233
553	現場	233
554	狀況	232
555	呈現	232
556	努力	231
557	個人	231
558	遊戲	231
559	媒體	231
560	創意	230
561	國立	230
562	最佳	230
563	高修民	230
564	準備	230
565	音樂	229
566	美	229
567	表達	229
568	金牌	229
569	十五	228
570	少年	227
571	二十	227
572	六月	227
573	勝	227
574	影片	226
575	召開	226
576	臺南	225
577	管理	225
578	支	225
579	球隊	225
580	小學	223
581	實體	223
582	平臺	223
583	處理	222
584	引發	222
585	教室	222
586	展出	222
587	愛	221
588	壓力	221
589	自然	221
590	就讀	221
591	快	221
592	受到	221
593	讀報	221
594	加入	220
595	學	220
596	組	220
597	境	219
598	領域	219
599	機構	219
600	市立	219
601	間	218
602	開學	218
603	語言	218
604	培養	218
605	球	218
606	維持	217
607	連	217
608	至於	217
609	市長	216
610	學期	216
611	融入	215
612	男童	215
613	有趣	214
614	南韓	214
615	新冠肺炎	213
616	採檢	213
617	接受	213
618	北市	213
619	戴	213
620	指揮官	213
621	隊	213
622	事	212
623	解決	212
624	由於	212
625	成立	212
626	互動	212
627	靠	211
628	底	210
629	這些	209
630	永續	209
631	原本	209
632	女性	209
633	李榮茂	209
634	俄羅斯	208
635	積極	207
636	法國	207
637	專家	207
638	法	207
639	經過	207
640	標準	207
641	安排	206
642	治療	206
643	智慧	206
644	常	206
645	禁止	206
646	入學	206
647	擴大	205
648	全面	205
649	難	205
650	動物園	205
651	雙語	205
652	份	205
653	世界杯	205
654	十四	204
655	啟發	204
656	特殊	204
657	主要	203
658	吃	203
659	不少	203
660	百	203
661	擊敗	203
662	零	202
663	首度	202
664	公民	202
665	戰	202
666	平均	201
667	連續	200
668	配合	200
669	不足	200
670	條	200
671	中重症	200
672	一百	199
673	弱勢	199
674	數學	199
675	典禮	199
676	交流	199
677	莊舒仲	199
678	成長	198
679	小時	198
680	書	198
681	權益	198
682	幼兒	198
683	七月	197
684	精神	196
685	介紹	196
686	令	196
687	當地	196
688	賽事	196
689	暑假	196
690	公園	195
691	在地	195
692	繪本	195
693	長期	194
694	發表	194
695	營養	194
696	我們	194
697	三十	194
698	染疫	194
699	打造	193
700	行政院	193
701	業者	193
702	獲獎	191
703	行為	190
704	測驗	190
705	至少	189
706	像	189
707	八月	189
708	人才	189
709	除	189
710	單位	189
711	衛福部	189
712	吸引	188
713	選舉	188
714	使	188
715	需	188
716	降低	188
717	至今	187
718	明年	187
719	組織	187
720	長	187
721	排名	187
722	寫	187
723	考量	186
724	靈感	186
725	免費	186
726	回應	185
727	我國	185
728	第四	185
729	項目	185
730	親子	185
731	關注	184
732	嘉義縣	184
733	登場	184
734	到校	184
735	選擇	183
736	生命	182
737	案	182
738	九月	182
739	只要	181
740	立委	181
741	近日	181
742	具	181
743	年齡	181
744	符合	180
745	花蓮縣	180
746	十六	180
747	人口	179
748	設置	179
749	已經	179
750	立法院	179
751	一月	179
752	三月	179
753	重視	179
754	十月	178
755	階段	178
756	均	178
757	包含	178
758	高市	178
759	機關	177
760	中學	177
761	體育	176
762	送	176
763	建立	175
764	頒獎	175
765	一樣	174
766	容易	174
767	幾	173
768	啟動	173
769	行政	173
770	身心	172
771	投入	172
772	程式	172
773	公共	172
774	規範	172
775	安打	172
776	雖	171
777	說明	171
778	波	170
779	以來	170
780	修正	170
781	苗栗縣	170
782	新生	170
783	工程	169
784	興趣	169
785	推廣	169
786	國教署	169
787	家鄉	169
788	有關	168
789	基礎	168
790	性別	168
791	低	168
792	分鐘	168
793	私校	168
794	青年	167
795	職業	167
796	境外	167
797	還是	167
798	不斷	167
799	然而	167
800	投票	167
801	現在	166
802	身體	166
803	執行	166
804	給予	166
805	評估	166
806	退場	166
807	中華	166
808	書展	166
809	公司	165
810	畢業生	165
811	教材	165
812	即日	165
813	修法	165
814	水	164
815	知道	164
816	類	163
817	隻	163
818	強調	163
819	審查	163
820	去	163
821	志工	162
822	疫	162
823	創	162
824	繼續	162
825	羅一鈞	162
826	當天	161
827	採用	161
828	榮獲	160
829	報	160
830	情況	160
831	困難	160
832	方面	160
833	達到	160
834	風險	160
835	結束	160
836	博物館	160
837	下降	159
838	最近	159
839	作業	159
840	提高	159
841	六年級	159
842	關懷	158
843	展開	157
844	多數	157
845	入境	157
846	培育	157
847	心理	157
848	所有	157
849	研發	156
850	醫師	156
851	改變	156
852	花蓮	156
853	綜合	156
854	原住民	155
855	地震	155
856	戶外	155
857	限制	155
858	見	155
859	決賽	155
860	遠距	155
861	年度	154
862	國中小	154
863	暨	154
864	什麼	153
865	思考	153
866	探索	153
867	十三	153
868	再度	153
869	氣象局	152
870	父母	152
871	皆	152
872	權利	151
873	制度	151
874	體育署	151
875	共有	151
876	注意	151
877	幼童	151
878	即使	150
879	保障	150
880	金	150
881	成	149
882	正常	149
883	破	149
884	莊人祥	149
885	之後	149
886	女子	149
887	私立	149
888	人權	149
889	發揮	148
890	女	148
891	工會	148
892	戰爭	148
893	民主	147
894	公斤	147
895	展示	147
896	代理	147
897	首次	147
898	有效	147
899	發言人	146
900	應用	146
901	提醒	146
902	同意	146
903	奪冠	146
904	比率	145
905	變異株	145
906	十分	145
907	二月	145
908	引導	145
909	啟用	145
910	彩繪	145
911	自我	144
912	正式	144
913	文化部	144
914	肯定	143
915	豐富	143
916	正	143
917	部落	143
918	產品	143
919	一一一學年度	143
920	特優	143
921	穩定	142
922	歡迎	142
923	來信	142
924	中山	142
925	藉由	142
926	實際	142
927	理事長	142
928	生物	141
929	名單	141
930	陰性	141
931	尤其	141
932	女童	141
933	教育處	141
934	方案	141
935	維護	141
936	專案	140
937	相當	140
938	報名	140
939	產生	140
940	社團	140
941	所以	140
942	陽性	140
943	課	140
944	突破	140
945	二二二	140
946	石斑魚	140
947	得主	139
948	照護	139
949	得獎	139
950	讀	139
951	當時	139
