序位	詞彙	詞頻	百萬詞頻
1	的	32323	36339
2	在	8860	9960
3	學生	8074	9077
4	是	7429	8352
5	有	7067	7945
6	也	5246	5897
7	一	5221	5869
8	與	5090	5722
9	國小	4517	5078
10	表示	4158	4674
11	和	3880	4362
12	為	3866	4346
13	不	3421	3846
14	及	3349	3765
15	說	3347	3762
16	將	3304	3714
17	以	3283	3690
18	昨天	3268	3674
19	學校	3064	3444
20	教育	2998	3370
21	等	2980	3350
22	都	2935	3299
23	年	2877	3234
24	到	2833	3185
25	人	2778	3123
26	臺灣	2626	2952
27	名	2623	2948
28	個	2605	2928
29	讓	2571	2890
30	這	2529	2843
31	就	2440	2743
32	但	2435	2737
33	中	2414	2713
34	後	2366	2659
35	會	2361	2654
36	教師	2322	2610
37	能	2313	2600
38	他	2302	2588
39	並	2268	2549
40	新	2263	2544
41	了	2199	2472
42	上	2198	2471
43	大學	2149	2416
44	全	2127	2391
45	兩	2051	2305
46	要	1945	2186
47	三	1922	2160
48	大	1921	2159
49	時	1839	2067
50	活動	1834	2061
51	今年	1812	2037
52	學習	1784	2005
53	對	1760	1978
54	可	1755	1973
55	更	1755	1973
56	各	1725	1939
57	校長	1706	1917
58	次	1657	1862
59	每	1657	1862
60	很	1646	1850
61	最	1616	1816
62	國中	1573	1768
63	校	1571	1766
64	從	1563	1757
65	她	1544	1735
66	還	1538	1729
67	或	1503	1689
68	由	1493	1678
69	教育部	1455	1635
70	前	1407	1581
71	希望	1375	1545
72	圖說	1372	1542
73	小	1334	1499
74	舉辦	1319	1482
75	提供	1299	1460
76	歲	1289	1449
77	已	1265	1422
78	兒童	1216	1367
79	課程	1195	1343
80	多	1193	1341
81	國	1188	1335
82	第一	1154	1297
83	而	1137	1278
84	高中	1114	1252
85	政府	1109	1246
86	二	1108	1245
87	才	1107	1244
88	來	1086	1220
89	臺北市	1085	1219
90	則	1075	1208
91	四	1067	1199
92	下	1066	1198
93	元	1058	1189
94	教學	1046	1175
95	文化	1025	1152
96	日前	1023	1150
97	我	1022	1148
98	民眾	1016	1142
99	被	1013	1138
100	進行	1008	1133
101	家長	991	1114
102	天	991	1114
103	可以	988	1110
104	再	982	1104
105	美國	981	1102
106	獲得	975	1096
107	成為	962	1081
108	參加	959	1078
109	目前	958	1077
110	所	956	1074
111	自己	952	1070
112	者	942	1059
113	校園	939	1055
114	之	938	1054
115	內	933	1048
116	國際	927	1042
117	透過	921	1035
118	應	914	1027
119	好	913	1026
120	指出	904	1016
121	社會	901	1012
122	五	900	1011
123	中心	892	1002
124	北市	877	985
125	生活	875	983
126	於	867	974
127	起	864	971
128	計畫	863	970
129	共	862	969
130	用	852	957
131	時間	852	957
132	影響	831	934
133	沒有	822	924
134	包括	821	923
135	認為	820	921
136	未來	818	919
137	高雄市	813	914
138	學童	808	908
139	問題	808	908
140	只	805	905
141	因此	800	899
142	作品	799	898
143	發展	790	888
144	著	784	881
145	比	781	878
146	圖片	780	876
147	國家	775	871
148	因	769	864
149	世界	768	863
150	如果	761	855
151	推動	744	836
152	發現	742	834
153	師生	738	829
154	去年	727	817
155	圖	724	813
156	設計	721	810
157	六	720	809
158	閱讀	716	804
159	環境	713	801
160	參與	698	784
161	種	693	779
162	高	693	779
163	孩子	692	777
164	他們	690	775
165	項	681	765
166	許多	681	765
167	做	675	758
168	分	671	754
169	十	668	751
170	仍	668	751
171	臺北	667	749
172	教育局	665	747
173	卻	650	730
174	藝術	645	725
175	科技	643	722
176	本	640	719
177	比賽	637	716
178	使用	635	713
179	開始	634	712
180	其中	632	710
181	該	630	708
182	向	618	694
183	可能	613	689
184	研究	610	685
185	基金會	608	683
186	完成	607	682
187	工作	606	681
188	因為	603	677
189	臺	603	677
190	得	600	674
191	以及	599	673
192	把	597	671
193	體驗	591	664
194	運動	591	664
195	又	585	657
196	增加	582	654
197	受	582	654
198	能力	580	652
199	日本	576	647
200	聯盟	576	647
201	未	573	644
202	地	572	643
203	且	571	641
204	書	565	635
205	家	561	630
206	看	557	626
207	曾	552	620
208	方式	551	619
209	公布	549	617
210	外	547	614
211	相關	547	614
212	英語	547	614
213	過	544	611
214	鼓勵	541	608
215	月	535	601
216	臺大	534	600
217	近	533	599
218	約	530	595
219	了解	525	590
220	不同	525	590
221	大家	523	587
222	超過	522	586
223	創作	519	583
224	選手	516	580
225	除了	516	580
226	調查	515	578
227	兒少	514	577
228	協助	512	575
229	一起	510	573
230	合作	510	573
231	政策	508	571
232	實驗	507	569
233	利用	505	567
234	規畫	499	561
235	臺中市	497	558
236	製作	494	555
237	第二	494	555
238	英國	491	552
239	社區	491	552
240	邀請	491	552
241	媽媽	488	548
242	服務	487	547
243	八	485	545
244	安全	485	545
245	家庭	483	543
246	網路	483	543
247	畢業	482	541
248	舉行	480	539
249	無法	480	539
250	雖然	480	539
251	發生	475	534
252	健康	474	532
253	桃園市	471	529
254	提出	470	528
255	造成	467	525
256	課綱	457	513
257	出現	455	511
258	場	454	510
259	團隊	451	507
260	機會	451	507
261	屆	450	505
262	七	448	503
263	攝影／	448	503
264	成績	447	502
265	內容	446	501
266	根據	444	499
267	科學	443	498
268	中國	441	495
269	右	440	494
270	資源	439	493
271	過程	434	487
272	要求	432	485
273	自	432	485
274	左	428	481
275	最後	427	480
276	攝影	426	478
277	討論	426	478
278	幫助	424	476
279	代表	423	475
280	呼籲	422	474
281	屏東縣	422	474
282	日	419	471
283	無	417	468
284	結合	416	467
285	特色	415	466
286	高雄	413	464
287	冠軍	412	463
288	青少年	410	460
289	偏鄉	408	458
290	必須	406	456
291	通過	405	455
292	此	405	455
293	給	401	450
294	主任	401	450
295	擔任	401	450
296	先	400	449
297	其他	398	447
298	當	398	447
299	幼兒園	398	447
300	件	397	446
301	學	396	445
302	主題	394	442
303	重要	389	437
304	想	387	435
305	故事	386	433
306	結果	386	433
307	沒	385	432
