序位	詞彙	詞頻	常用詞標V
348	作為	351	V
349	支持	351	V
350	覺得	349	V
351	先	348	V
352	裡	348	V
353	地區	347	V
354	我國	344	V
355	改善	343	V
356	地方	343	V
357	成果	342	V
358	協會	340	V
359	週	339	V
360	非	339	V
361	出現	339	V
362	十二	336	V
363	同學	334	V
364	弱勢	333	V
365	挑戰	332	V
366	解決	331	V
367	就讀	330	V
368	二十	330	V
369	帶領	330	V
370	決定	328	V
371	班	328	V
372	達	327	V
373	爸爸	327	V
374	進入	327	V
375	資料	326	V
376	提升	326	V
377	考生	325	V
378	更多	325	V
379	球員	325	V
380	入學	324	V
381	愛	324	V
382	表演	324	V
383	經濟	323	V
384	攝影／	323	V
385	很多	323	V
386	宣布	323	V
387	現場	322	V
388	以上	321	V
389	實施	319	V
390	創意	319	V
391	位	318	V
392	參賽	317	V
393	處理	317	V
394	開心	317	V
395	高雄	316	V
396	處	314	V
397	輔導	314	V
398	過去	313	V
399	事件	313	V
400	暑假	313	V
401	指導	313	V
402	歷史	312	V
403	實驗	312	V
404	少	312	V
405	資訊	312	V
406	生態	311	V
407	不少	311	V
408	前往	310	V
409	明年	310	V
410	教練	310	V
411	預計	308	V
412	招生	307	V
413	經驗	307	V
414	不僅	306	V
415	交通	305	V
416	如	305	V
417	訓練	304	V
418	系統	304	V
419	個人	303	V
420	成立	303	V
421	持續	301	V
422	共同	301	V
423	課綱	301	V
424	依	301	V
425	座	300	V
426	媒體	299	V
427	同時	299	V
428	例如	295	V
429	教室	295	V
430	組	295	V
431	不會	295	V
432	委員會	293	V
433	常	293	V
434	行政	293	V
435	圖書館	292	V
436	對於	292	V
437	領域	292	V
438	練習	290	V
439	主要	290	V
440	減少	289	V
441	校方	288	V
442	縣市	288	V
443	展現	287	V
444	十五	287	V
445	加入	286	V
446	志工	285	V
447	不能	285	V
448	現在	284	V
449	我們	284	V
450	議題	284	V
451	單位	283	V
452	醫院	283	V
453	培養	283	V
454	智慧	283	V
455	典禮	282	V
456	教授	282	V
457	嚴重	282	V
458	讀	281	V
459	小時	280	V
460	技術	280	V
461	彰化縣	280	V
462	臺大	279	V
463	級	279	V
464	玩	278	V
465	青年	277	V
466	海洋	276	V
467	顯示	275	V
468	水	274	V
469	美	274	V
470	選擇	273	V
471	隊	272	V
472	演出	272	V
473	努力	271	V
474	其	271	V
475	管理	271	V
476	跨	271	V
477	狀況	271	V
478	事	269	V
479	面對	268	V
