序位	詞彙	詞頻
1	的	27333
2	在	8563
3	學生	8107
4	是	6912
5	有	6679
6	與	4868
7	一	4808
8	也	4697
9	表示	4474
10	為	4135
11	國小	4095
12	昨天	3750
13	將	3542
14	和	3531
15	人	3397
16	說	3296
17	不	3289
18	學校	3157
19	等	3146
20	及	2949
21	以	2873
22	都	2832
23	疫情	2752
24	新	2667
25	到	2485
26	後	2452
27	但	2440
28	這	2375
29	臺灣	2346
30	會	2334
31	中	2332
32	並	2298
33	名	2281
34	教師	2278
35	年	2244
36	讓	2187
37	個	2171
38	能	2155
39	上	2149
40	就	2144
41	全	2112
42	他	2048
43	教育	2041
44	各	2009
45	兩	1999
46	要	1990
47	可	1977
48	三	1859
49	中心	1859
50	防疫	1852
51	了	1731
52	今年	1726
53	學習	1717
54	大	1716
55	或	1699
56	對	1692
57	活動	1666
58	次	1664
59	最	1655
60	肺炎	1648
61	大學	1640
62	者	1623
63	每	1615
64	已	1609
65	時	1572
66	校	1565
67	民眾	1542
68	日前	1538
69	更	1484
70	口罩	1460
71	從	1442
72	由	1403
73	很	1399
74	前	1359
75	提供	1349
76	圖說	1342
77	天	1319
78	歲	1318
79	還	1306
80	舉辦	1305
81	她	1296
82	國	1294
83	應	1262
84	國中	1230
85	教育部	1226
86	政府	1199
87	元	1194
88	內	1151
89	多	1150
90	目前	1145
91	校長	1141
92	而	1141
93	美國	1139
94	課程	1138
95	起	1118
96	被	1090
97	下	1088
98	指揮	1084
99	指出	1082
100	小	1080
101	影響	1078
102	例	1076
103	二	1075
104	確診	1073
105	透過	1056
106	進行	1033
107	校園	1023
108	臺北市	1021
109	四	1012
110	才	992
111	希望	992
112	教學	983
113	國家	981
114	則	967
115	包括	960
116	自己	958
117	高中	954
118	第一	953
119	再	950
120	於	937
121	因	925
122	來	922
123	外	921
124	國際	913
125	可以	896
126	兒童	891
127	臺	886
128	之	885
129	家長	884
130	北市	884
131	用	862
132	獲得	861
133	宣布	857
134	共	853
135	時間	851
136	使用	839
137	圖	833
138	未	828
139	所	822
140	五	821
141	沒有	810
142	生活	797
143	中央	796
144	仍	786
145	作品	781
146	圖片	781
147	計畫	770
148	公布	765
149	未來	760
150	家	757
151	師生	756
152	工作	753
153	我	751
154	該	747
155	文化	743
156	新冠	737
157	病毒	730
158	國內	729
159	相關	724
160	好	721
161	可能	720
162	種	709
163	冠	708
164	世界	704
165	成為	703
166	高	702
167	本	702
168	因此	696
169	其中	696
170	六	691
171	認為	690
172	閱讀	688
173	比	687
174	感染	686
175	人員	681
176	我國	679
177	無	679
178	約	673
179	著	663
180	中國	662
181	研究	661
182	受	659
183	曾	650
184	環境	650
185	臺北	642
186	教育局	639
187	項	637
188	設計	630
189	如果	630
190	參加	627
191	且	620
192	只	617
193	超過	615
194	以及	613
195	無法	613
196	高雄市	612
197	安全	610
198	完成	606
199	參與	603
200	社會	601
201	向	601
202	大家	599
203	增加	598
204	疫苗	597
205	問題	594
206	個案	593
207	發現	590
208	戴	590
209	卻	590
210	孩子	586
211	發展	586
212	許多	581
213	開放	581
214	他們	580
215	病例	578
216	推動	576
217	方式	573
218	調查	571
219	全球	566
220	去年	559
