序位	詞彙	詞頻
1	的	22491
2	在	6642
3	學生	6571
4	是	5259
5	有	4617
6	與	4504
7	一	3631
8	也	3579
9	表示	3529
10	國小	3224
11	報導	3072
12	和	2794
13	以	2776
14	及	2737
15	為	2638
16	將	2630
17	昨天	2600
18	學校	2534
19	年	2399
20	等	2257
21	臺灣	2161
22	說	2135
23	人	2024
24	並	1958
25	不	1943
26	教育	1934
27	這	1923
28	教師	1826
29	名	1796
30	讓	1784
31	到	1773
32	個	1733
33	臺北	1639
34	三	1624
35	都	1614
36	後	1595
37	中	1591
38	全	1523
39	兩	1518
40	會	1515
41	能	1512
42	學習	1490
43	次	1462
44	上	1462
45	各	1417
46	但	1410
47	最	1401
48	大學	1327
49	提供	1327
50	他	1308
51	對	1307
52	校	1267
53	更	1264
54	大	1245
55	就	1227
56	由	1224
57	今年	1216
58	很	1151
59	可	1150
60	或	1143
61	已	1139
62	每	1122
63	從	1100
64	活動	1085
65	時	1031
66	國	1030
67	日前	1012
68	多	986
69	四	984
70	國中	975
71	要	968
72	還	953
73	前	951
74	元	927
75	課程	923
76	國際	919
77	校長	910
78	教育部	891
79	歲	883
80	了	866
81	而	859
82	舉辦	855
83	第一	853
84	透過	853
85	於	847
86	政府	841
87	下	841
88	文化	840
89	則	838
90	比	817
91	起	814
92	者	812
93	她	809
94	高中	804
95	之	792
96	圖片	781
97	獲得	764
98	進行	762
99	民眾	760
100	應	756
101	被	748
102	天	744
103	臺北市	738
104	指出	738
105	五	737
106	家長	737
107	閱讀	731
108	來	726
109	世界	721
110	希望	721
111	中心	709
112	圖	707
113	教學	704
114	調查	699
115	小	692
116	校園	684
117	內	680
118	國家	676
119	發展	672
120	新	665
121	自己	665
122	兒童	664
123	日本	663
124	因	661
125	美國	659
126	至	652
127	再	646
128	作品	643
129	分	639
130	所	632
131	目前	625
132	使用	616
133	未	613
134	計畫	607
135	推動	603
136	可以	602
137	影響	596
138	十	596
139	教育局	596
140	本	592
141	環境	591
142	參加	584
143	仍	582
144	才	578
145	包括	575
146	其中	570
147	項	565
148	用	560
149	社會	557
150	成為	555
151	研究	551
152	比賽	547
153	發現	544
154	六	543
155	新北市	538
156	未來	537
157	因此	537
158	體驗	533
159	時間	528
160	種	524
161	生活	523
162	去年	520
163	選手	518
164	參與	517
165	合作	515
166	高雄市	515
167	藝術	514
168	臺	511
169	該	508
170	相關	507
171	增加	507
172	高	500
173	設計	495
174	科技	492
175	沒有	488
176	且	486
177	可能	484
178	好	481
179	場	479
180	首	477
181	師生	475
182	公布	472
183	疫情	471
184	規畫	469
185	李庭芝	466
186	能力	464
187	問題	463
188	屆	463
189	孩子	461
190	張彩鳳	459
191	除了	455
192	圖說	448
193	此	446
194	認為	445
195	我	444
196	創作	443
197	運動	442
198	獲	441
199	以及	439
200	英語	439
201	完成	438
202	團隊	438
203	約	433
204	高雄	432
205	向	430
206	卻	428
207	例	428
208	著	427
209	沈育如	427
210	主題	427
211	攝影	426
212	共	424
213	外	418
214	安全	411
215	協助	411
216	工作	407
217	臺中市	406
218	第二	405
219	超過	404
220	方式	402
221	近	401
222	新北	401
223	人員	400
224	楊惠芳	398
225	邀請	397
226	補助	396
227	曾	394
228	舉行	392
229	桃園市	391
230	鼓勵	390
231	做	387
232	不同	387
233	提升	385
234	全球	384
235	開始	384
236	件	376
237	許多	375
238	造成	374
239	了解	374
240	出現	374
241	兒少	370
242	結合	367
243	資源	366
244	陳芝瑄	366
245	分享	365
246	發生	362
247	總統	361
248	另外	361
249	家	361
250	學童	360
251	中國	359
252	重要	358
253	得	357
254	政策	356
255	健康	356
256	持續	353
257	週	349
258	他們	348
259	認識	344
260	服務	343
261	又	340
262	自	339
263	美聯社	337
264	專業	336
265	八	336
266	部分	335
267	一起	335
268	公尺	334
269	科學	334
270	大家	333
271	月	327
272	看	326
273	故事	325
274	提出	324
275	紀錄	324
276	冠軍	324
277	最後	324
278	製作	321
279	陳景清	320
280	宣布	319
281	七	318
282	無法	318
283	基金會	316
284	要求	316
285	屏東縣	316
286	受	315
287	特別	315
288	僅	314
289	多元	313
290	通過	313
291	遭	313
292	雙語	312
293	社區	312
294	交流	311
295	海洋	309
296	日	308
297	競賽	307
298	較	307
299	中華隊	307
300	機會	306
301	中央	305
302	呼籲	304
303	二	304
304	共同	303
305	數位	301
306	表演	299
307	社論	298
308	傳統	298
309	幼兒園	297
310	成績	297
311	校方	296
312	因為	295
313	過程	295
314	代表	295
315	結果	294
316	度	294
317	偏鄉	293
318	進入	292
319	若	292
320	把	292
321	畢業	291
322	地區	291
323	甚至	288
324	同時	286
325	只	286
326	帶領	284
327	同學	283
328	臺中	283
329	需要	281
330	如何	281
331	產業	279
332	事件	279
333	成功	279
334	老師	279
335	規定	278
336	主任	278
337	位	277
338	其	277
339	金牌	277
340	擔任	276
341	表現	276
342	利用	275
343	特色	275
344	預計	275
345	針對	274
346	交通	274
347	討論	274
348	輔導	274
349	其他	273
350	今天	272
351	屏東	272
352	班	271
353	家庭	271
354	國立	270
355	支持	270
356	無	269
357	如	269
358	圖書館	269
359	更多	268
360	改善	268
361	球員	268
362	內容	267
363	人數	264
364	當	263
365	經	263
366	來自	263
367	如果	261
368	午餐	261
369	縣市	260
370	訓練	260
371	經費	259
372	現場	258
373	成果	257
374	明年	257
375	想	256
376	喜歡	256
377	臺南市	256
378	展現	255
379	協會	254
380	動物	254
381	局	254
382	指導	253
383	建議	253
384	雖然	252
385	青少年	251
386	挑戰	250
387	跨	250
388	依	249
389	給	249
390	先	248
391	教授	246
392	團體	246
393	以上	244
394	聯盟	244
395	網路	243
396	領域	243
397	為了	243
398	照顧	242
399	媒體	241
400	議題	240
401	實施	240
402	不過	239
403	南韓	239
404	報告	238
405	文	238
406	取得	238
407	級	238
408	處理	238
409	作為	237
410	創意	236
411	遊戲	236
412	調整	235
413	地方	235
414	技術	235
415	申請	234
416	十二	234
417	第三	233
418	座	233
419	過	231
420	練習	231
421	吳啟綜	230
422	項目	230
423	高修民	230
424	減少	230
425	不僅	229
426	此外	229
427	過去	229
428	努力	228
429	非常	228
430	永續	228
431	歷史	228
432	地	228
433	臺大	228
