序位	詞彙	詞頻	百萬詞頻
1	的	32351	36629
2	在	8834	10002
3	學生	8304	9402
4	是	7533	8529
5	有	7195	8146
6	一	5428	6145
7	也	5159	5841
8	與	4801	5435
9	國小	4375	4953
10	表示	4062	4599
11	為	3921	4439
12	和	3871	4382
13	說	3606	4082
14	及	3470	3928
15	不	3444	3899
16	昨天	3329	3769
17	將	3263	3694
18	學校	3216	3641
19	人	3108	3519
20	年	3081	3488
21	到	3075	3481
22	以	3041	3443
23	讓	2970	3362
24	個	2803	3173
25	都	2790	3159
26	臺灣	2693	3049
27	中	2638	2986
28	等	2626	2973
29	教育	2620	2966
30	名	2612	2957
31	教師	2531	2865
32	就	2513	2845
33	了	2390	2706
34	後	2369	2682
35	這	2356	2667
36	但	2332	2640
37	他	2332	2640
38	會	2284	2586
39	全	2278	2579
40	能	2164	2450
41	新	2103	2381
42	上	2089	2365
43	大學	2078	2352
44	大	2046	2316
45	並	2038	2307
46	要	1966	2226
47	三	1956	2214
48	活動	1930	2185
49	今年	1918	2171
50	兩	1897	2147
51	每	1828	2069
52	學習	1806	2044
53	對	1749	1980
54	各	1747	1978
55	時	1737	1966
56	最	1724	1952
57	可	1659	1878
58	更	1629	1844
59	還	1616	1829
60	校	1578	1786
61	由	1575	1783
62	國中	1551	1756
63	很	1544	1748
64	她	1514	1714
65	從	1506	1705
66	次	1502	1700
67	教育部	1479	1674
68	或	1444	1634
69	校長	1438	1628
70	希望	1425	1613
71	圖說	1411	1597
72	前	1361	1541
73	國	1327	1502
74	舉辦	1322	1496
75	兒童	1309	1482
76	提供	1268	1435
77	元	1240	1404
78	高中	1240	1404
79	多	1229	1391
80	已	1201	1359
81	小	1158	1311
82	四	1128	1277
83	而	1127	1276
84	歲	1126	1274
85	第一	1112	1259
86	政府	1111	1257
87	被	1108	1254
88	所	1083	1226
89	臺北市	1071	1212
90	課程	1055	1194
91	才	1053	1192
92	天	1049	1187
93	文化	1043	1180
94	者	1039	1176
95	下	1038	1175
96	來	1032	1168
97	再	1001	1133
98	計畫	991	1122
99	獲得	983	1113
100	自己	980	1109
101	進行	979	1108
102	則	977	1106
103	透過	974	1102
104	五	970	1098
105	可以	966	1093
